comments,localized_comment,hinglish,host_name,city,area,sentiment,is_mixed_sentiment,source,original_length,original_word_count,hinglish_word_count,hinglish_length
"The Houseboat was very nice, and the location perfect, very close to the center of Amsterdam. The boat is warm, romantic, and full equiped. Derk was an excellent host, always contactable but left us to ourselves. It was a very beautiful experience!","The Mumbai was very nice, and the location perfect, very close to the center of Mumbai. The boat is warm, romantic, and full equiped. Sneha was an excellent host, always contactable but left us to ourselves. It was a very beautiful experience!","Colaba mein Sneha ki hotel ekdum mast, metro ke paas aur colony ke andar, bilkul thik hai, budget ke hisaab se sahi hai 😊",Sneha,Mumbai,Colaba,positive,False,real,248,42,24,121
"Daan is an excellent host and very helpfull - The houseboat is fantastic : clean, comfort, good location. I will recommand this location to all my friends. <br/>","Divya is an excellent host and very helpfull - The Pune is fantastic : clean, comfort, good location. I will recommand this location to all my friends. <br/>","Hinjewadi mein, metro ke paas, colony ke andar, sahi tha yaar, budget ke hisaab se ekdum mast, lekin bathroom chhota tha 😊",Divya,Pune,Hinjewadi,positive,True,real,162,28,22,122
Wifi was completely dead. Host gave no solution.,Wifi was completely dead. Host gave no solution.,"Aundh mein stay bekar tha, wifi completely dead tha, kharab experience mili, Aditya ka solution nahi tha, pure waste paisa.",Aditya,Pune,Aundh,negative,False,synthetic,48,8,20,123
"We loved our stay in Derk's barge. It was so very comfortable and warm, with plenty of room. Lovely hot shower. It was very handy to transport and we had no difficulty finding the local bakery for our croissants. Derk very kindly waited up til our midnight arrival so he could meet us and show us around, and also showed us the rest of the barge which still has its original features.  Would readily recommend Derk's barge and hope we can return some day. We are a retired couple from New Zealand and it was great to have something so different to what we can find in our country.","We loved our stay in Neha's barge. It was so very comfortable and warm, with plenty of room. Lovely hot shower. It was very handy to transport and we had no difficulty finding the local bakery for our croissants. Neha very kindly waited up til our midnight arrival so he could meet us and show us around, and also showed us the rest of the barge which still has its original features.  Would readily recommend Neha's barge and hope we can return some day. We are a retired couple from New Zealand and it was great to have something so different to what we can find in our country.","Viman Nagar mein Neha ke hotel mein stay karke mazaa aa gaya, yaar 🤩, metro ke paas aur colony ke andar, budget ke hisaab se ekdum sahi tha! 😊",Neha,Pune,Viman Nagar,positive,False,real,580,109,29,142
Nice host but the property needs renovation. Facilities are outdated.,Nice host but the property needs renovation. Facilities are outdated.,"Colaba mein stay theek tha, Kavya host ka behaviour accha tha lekin property ko renovation ki zarurat hai, facilities average hai, kuch khaas nahi.",Kavya,Mumbai,Colaba,neutral,True,synthetic,69,10,24,147
"My wife and I recently stopped in Amsterdam for a few days during our honeymoon. We didn't want to stay in the typical Amsterdam hotel and opted for something special - a traditional Dutch houseboat.  Needless to say staying on a boat was a special experience, but the boat was very clean, was on a quiet canal in a superb location in central Amsterdam, and had everything we needed for a memorable weekend.  The owner was good to make some worthwhile recommendations for us and was very flexible with the boat itself (he offered us his other boat in case we preferred that one), etc.  I will definitely try to book this houseboat again when I return to Amsterdam next.","My wife and I recently stopped in Mumbai for a few days during our honeymoon. We didn't want to stay in the typical Mumbai hotel and opted for something special - a traditional Mumbai Mumbai.  Needless to say staying on a boat was a special experience, but the boat was very clean, was on a quiet canal in a superb location in central Mumbai, and had everything we needed for a memorable weekend.  The owner was good to make some worthwhile recommendations for us and was very flexible with the boat itself (he offered us his other boat in case we preferred that one), etc.  I will definitely try to book this Mumbai again when I return to Mumbai next.","Andheri mein, metro ke paas, Divya ka yeh stay ekdum mast tha, mazaa aa gaya 🌟, budget ke hisaab se sahi hai, colony ke andar peaceful location 🙏.",Divya,Mumbai,Andheri,positive,False,real,669,120,28,146
Water pressure was terrible. Hot water not working.,Water pressure was terrible. Hot water not working.,"Koramangala mein Arjun ka yeh hotel stay bakwaas tha, water pressure bekar tha aur hot water nahi chalega, total waste experience.",Arjun,Bangalore,Koramangala,negative,False,synthetic,51,8,21,130
Host was rude and asked us to leave early without refund.,Host was rude and asked us to leave early without refund.,"""Indiranagar mein Neha ka stay total bekar tha, rude host ne refund ke bina nikal diya.""",Neha,Bangalore,Indiranagar,negative,False,synthetic,57,11,16,88
"I lived in Amsterdam for three years and away wondered what it would be like to stay in a house boat - the experience was excellent and Derek is a great guy, very easygoing and flexible. Highly recommended.","I lived in Jaipur for three years and away wondered what it would be like to stay in a house boat - the experience was excellent and Derek is a great guy, very easygoing and flexible. Highly recommended.","Mansarovar mein Arjun ka hostel ekdum acha hai, metro ke paas colony ke andar, budget ke hisaab se bilkul sahi hai yaar 🙌",Arjun,Jaipur,Mansarovar,positive,False,real,206,38,23,121
"You can´t have a nicer start in Amsterdam. Daniel is such a great and welcoming host. The room was really light and charming, so well decorated. Daniel has a great sense of hospitality, he even helped with our luggage and gave us maps and a travelguide. He´s very open minded and helpful. We had a great time, we would stay with him again anytime we´re back in Amsterdam. Daniel made sure we had everything for a great trip, thanks again for the bikes! Hope to see you soon, Daniel!","You can´t have a nicer start in Delhi. Kavya is such a great and welcoming host. The room was really light and charming, so well decorated. Kavya has a great sense of hospitality, he even helped with our luggage and gave us maps and a travelguide. He´s very open minded and helpful. We had a great time, we would stay with him again anytime we´re back in Delhi. Kavya made sure we had everything for a great trip, thanks again for the bikes! Hope to see you soon, Kavya!","Connaught Place mein stay ekdum mast tha, Kavya ka hosting sahi tha 🙌, metro ke paas aur colony ke andar, budget ke hisaab se bilkul sahi hai! 😊",Kavya,Delhi,Connaught Place,positive,False,real,482,89,28,144
"Just a short note - my first experience with AirBnB was with Daniel and it was stellar.  Exactly as indicated and advertised, the service was exemplary.  As a person who does a lot of business travelling, I found Daniel to be an informed and professional host.  Much better service than harried business travellers normally recieve.  For example he answered many questions about the local transportation, the scene, and the best way to spend our time.  He also arranged for bikes which is undoubtedly the best way to see the city.  I highly recommend Daniel to anyone considering a trip to Amsterdam, the experience was completely positive.","Just a short note - my first experience with AirBnB was with Rohan and it was stellar.  Exactly as indicated and advertised, the service was exemplary.  As a person who does a lot of business travelling, I found Rohan to be an informed and professional host.  Much better service than harried business travellers normally recieve.  For example he answered many questions about the local transportation, the scene, and the best way to spend our time.  He also arranged for bikes which is undoubtedly the best way to see the city.  I highly recommend Rohan to anyone considering a trip to Delhi, the experience was completely positive.","""Rohan ka hostel Karol Bagh mein thik tha, metro se thodi door thi location"" 🙃",Rohan,Delhi,Karol Bagh,positive,True,real,640,106,15,78
Average stay. Would not stay again but no major complaints.,Average stay. Would not stay again but no major complaints.,"Mumbai ka stay was average, Colaba mein theek tha, chalega ek baar but kuch khaas nahi, okay okay experience tha.",Riya,Mumbai,Colaba,neutral,True,synthetic,59,10,20,113
"Staying in a boat in Amsterdam really improved my experience in the city! The boat is super well located, I barely had the need to use public transport. Nice and polite host. Highly recommended! ","Staying in a boat in Hyderabad really improved my experience in the city! The boat is super well located, I barely had the need to use public transport. Nice and polite host. Highly recommended! ","""Mast stay tha yaar, Jubilee Hills mein, metro ke paas, Rohan ka boat achha hai, budget ke hisaab se bilkul sahi hai 🚣""",Rohan,Hyderabad,Jubilee Hills,positive,False,real,195,34,23,119
"We spent three night's on Derk's houseboat and absolutely loved it. It was clean, fully equipped and the location was perfect, within walking distance of Rembrandtplein square in one direction and the Van Gogh Museum and  Rijksmuseum in another. The wifi worked perfectly and was surprisingly fast. Derk is a very interesting guy (a violinist with De Nederlandse Opera company) and dropped by twice to make sure we had everything we needed - which we did. It was a quintessential Amsterdam experience that we highly recommend.<br/>","We spent three night's on Sneha's Hyderabad and absolutely loved it. It was clean, fully equipped and the location was perfect, within walking distance of Rembrandtplein square in one direction and the Van Gogh Museum and  Hyderabad in another. The wifi worked perfectly and was surprisingly fast. Sneha is a very interesting guy (a violinist with De Nederlandse Opera company) and dropped by twice to make sure we had everything we needed - which we did. It was a quintessential Hyderabad experience that we highly recommend.<br/>","Yaar, Banjara Hills mein Sneha ka hotel ekdum mast hai, bilkul thik location, metro ke paas, sahi hai 👍",Sneha,Hyderabad,Banjara Hills,positive,False,real,532,87,19,103
Host was unresponsive. We waited 2 hours to check in.,Host was unresponsive. We waited 2 hours to check in.,"Mansarovar mein stay bekar tha, Sneha host se contact nahi ho paaya, 2 ghante wait kiya phir bhi kharab experience mila, waste hai yeh stay.",Sneha,Jaipur,Mansarovar,negative,False,synthetic,53,10,25,140
"Derk's boat was amazing.  It was clean and spacious for two people and had all necessary amenities (and more!) to comfortably stay for a few days.  The location was great, 15 minute walk to downtown and red light district, bike rentals right around the corner, 5 minutes to grocery store, yet still in a quiet neighborhood. <br/><br/>Derk was a great host as well.  He was there waiting for us when we arrived and made sure we could hook up to wifi and had all of his contact info in case we had to reach him.  He was a really friendly guy- even left us a couple beers in the fridge.  <br/><br/>We highly recommend staying here!<br/>","Rahul's boat was amazing.  It was clean and spacious for two people and had all necessary amenities (and more!) to comfortably stay for a few days.  The location was great, 15 minute walk to downtown and red light district, bike rentals right around the corner, 5 minutes to grocery store, yet still in a quiet neighborhood. <br/><br/>Rahul was a great host as well.  He was there waiting for us when we arrived and made sure we could hook up to wifi and had all of his contact info in case we had to reach him.  He was a really friendly guy- even left us a couple beers in the fridge.  <br/><br/>We highly recommend staying here!<br/>","Rahul ka stay Powai mein, metro ke paas, colony ke andar, bilkul thik tha yaar 🙌, budget ke hisaab se mast, lekin parking nahi thi 😐",Rahul,Mumbai,Powai,positive,True,real,638,118,26,132
"The boat is something special! It seems so authentic to live in the houseboat while staying in Amsterdam! There is a lot of space and it's so cosy. And there is everything one can need including hot water, wi-fi and TV) It's 5 min wals to Rembrandt place and 15 min walk to Red Quarter. And you can get to Amsterdam Centraal in 15 min by tram. Many thanks to Derk - everything was just fantastic!","The boat is something special! It seems so authentic to live in the Jaipur while staying in Jaipur! There is a lot of space and it's so cosy. And there is everything one can need including hot water, wi-fi and TV) It's 5 min wals to Rembrandt place and 15 min walk to Red Quarter. And you can get to Jaipur Centraal in 15 min by tram. Many thanks to Manish - everything was just fantastic!","Mansarovar mein stay thik tha, yaar 🙌. Metro ke paas aur colony ke andar, budget ke hisaab se sahi hai, par price thoda high laga 😊.",Manish,Jaipur,Mansarovar,positive,True,real,396,76,26,132
Host was helpful but the room was smaller than photos suggested.,Host was helpful but the room was smaller than photos suggested.,"Aditya ka hostel Kondapur mein theek tha, lekin room photos se chhota tha, kuch khaas nahi, average experience tha Hyderabad ka stay.",Aditya,Hyderabad,Kondapur,neutral,True,synthetic,64,11,22,133
Daniel is highly recommended.  He provided all necessities (and actually went way beyond what's expected of a great host). His place is very clean.  It is also convenient to buses and trams which will take you around the city in minutes.  You will truly feel like a local here.,Swati is highly recommended.  He provided all necessities (and actually went way beyond what's expected of a great host). His place is very clean.  It is also convenient to buses and trams which will take you around the city in minutes.  You will truly feel like a local here.,"Swati ekdum mast host hai, C-Scheme mein uska place bilkul sahi tha, metro ke paas colony ke andar, mazaa aa gaya yaar 🙌",Swati,Jaipur,C-Scheme,positive,False,real,277,49,23,120
Cockroaches in the bathroom. Disgusting experience.,Cockroaches in the bathroom. Disgusting experience.,"Mylapore mein stay bekar tha, bathroom mein cockroaches the, bilkul bakwaas experience. Chennai ka stay kharab kar diya.",Priya,Chennai,Mylapore,negative,False,synthetic,51,6,18,120
"Daniele is an amazing host! He provided everything that was needed to make our stay comfortable and easy! The rooms were clean and cozy; and he took the time to show us how to get around Amsterdam via public transportation or riding around on bicycles. You truly do feel like a local when staying with Daniele!!<br/>","Daniele is an amazing host! He provided everything that was needed to make our stay comfortable and easy! The rooms were clean and cozy; and he took the time to show us how to get around Jaipur via public transportation or riding around on bicycles. You truly do feel like a local when staying with Daniele!!<br/>","Riya ekdum amazing host thi, Tonk Road mein metro ke paas colony ke andar, sahi tha, budget ke hisaab se mast stay tha 🙌",Riya,Jaipur,Tonk Road,positive,False,real,317,57,24,120
"No amount of praise for Daniel would be corny or excessive.  His place was comfortable and wonderful, and he is an incredibly friendly and accommodating host.  I felt cleaner, safer, and happier than at any hotel.  A friend and I stayed here, and we loved having the twin beds in the same room.  The shower was luxurious and clean, and Daniel provided us with maps, restaurant recommendations, bikes, and tea service!  I just asked my travel companion ""What else can I say about Daniel's place?"" and he was like, ""OH MAN!  It's one thing to expect breakfast from a B&B, and it's quite another to be chez Daniel.  His command of the nuances of hosting are unmatched.""","No amount of praise for Ankit would be corny or excessive.  His place was comfortable and wonderful, and he is an incredibly friendly and accommodating host.  I felt cleaner, safer, and happier than at any hotel.  A friend and I stayed here, and we loved having the twin beds in the same room.  The shower was luxurious and clean, and Ankit provided us with maps, restaurant recommendations, bikes, and tea service!  I just asked my travel companion ""What else can I say about Ankit's place?"" and he was like, ""OH MAN!  It's one thing to expect breakfast from a B&B, and it's quite another to be chez Ankit.  His command of the nuances of hosting are unmatched.""","Ankit ka place HSR Layout mein, metro ke paas, colony ke andar, budget ke hisaab se ekdum sahi hai, yaar 🙌.",Ankit,Bangalore,HSR Layout,positive,False,real,666,117,21,107
"It was okay for the price. Not great, not terrible.","It was okay for the price. Not great, not terrible.","Malviya Nagar mein Rahul ka hostel theek tha, Jaipur ka stay average tha, chalega ek baar, lekin kuch khaas nahi. Okay okay experience mila.",Rahul,Jaipur,Malviya Nagar,neutral,True,synthetic,51,10,24,140
"For a first experience with airbnb, we're fully satisfied. We had a great time in Amsterdam on Derk's houseboat. Everything was as expected. just one little ""minus"": <br/>The heat was off (of course, we're in May!!) but with this year's cold spring, it was a bit chilly during the night. Thanks to the extra blanket ! <br/>We haven't got the chance to meet Derk, but his neighbor was waiting for us with the keys, so everything went well. <br/>We certainly would recommand that place, and if we come back to Amsterdam, we'll certainly rent it again. Rosane and Romain/Nyon,Switzerland","For a first experience with airbnb, we're fully satisfied. We had a great time in Delhi on Aarav's Delhi. Everything was as expected. just one little ""minus"": <br/>The heat was off (of course, we're in May!!) but with this year's cold spring, it was a bit chilly during the night. Thanks to the extra blanket ! <br/>We haven't got the chance to meet Aarav, but his neighbor was waiting for us with the keys, so everything went well. <br/>We certainly would recommand that place, and if we come back to Delhi, we'll certainly rent it again. Rosane and Romain/Nyon,Switzerland","Saket mein Aarav ka place ekdum mast, overall acha experience 🙌. Colony ke andar, metro ke paas, budget ke hisaab se sahi hai yaar 🚂.",Aarav,Delhi,Saket,positive,False,real,587,99,25,133
"Room was as described, nothing more. Decent value for money.","Room was as described, nothing more. Decent value for money.","Tonk Road mein stay kuch khaas nahi tha, room description ke hisab se theek tha, average laga, chalega. Jaipur ka stay okay okay tha.",Priya,Jaipur,Tonk Road,neutral,True,synthetic,60,10,24,133
"Nous avons pass 5 jours parfait chez Derk! Le quartier est super sympa, très calme et très central. Tout est à proximité directe,louer des vélos permet de se the placer facilement et de découvrir la ville autrement ! Notre séjour sur la péniche a été très sympa. C'est trés mignon, bien equipé, avec une vue magnifique sur le rijksmuseum, sur un petit bout de canal calme et ensoleillé.Derk a été adorable! Nous avons adoré cette expérience et nous recommandons vivement!","Nous avons pass 5 jours parfait chez Arjun! Le quartier est super sympa, très calme et très central. Tout est à proximité directe,louer des vélos permet de se the placer facilement et de découvrir la ville autrement ! Notre séjour sur la péniche a été très sympa. C'est trés mignon, bien equipé, avec une vue magnifique sur le Pune, sur un petit bout de canal calme et ensoleillé.Arjun a été adorable! Nous avons adoré cette expérience et nous recommandons vivement!","Aundh mein Arjun ke ghar mein stay kiya, ekdum mast experience tha 🌟. Colony ke andar, metro ke paas, budget ke hisaab se bilkul thik hai. Lekin, bathroom chhota tha 😐",Arjun,Pune,Aundh,positive,True,real,471,80,31,167
Location was unsafe at night. Would not recommend to anyone.,Location was unsafe at night. Would not recommend to anyone.,"""T. Nagar mein stay karna bekar tha, location raat ko ganda aur unsafe tha, waste of money tha, nahi chalega Chennai ka stay.""",Priya,Chennai,T. Nagar,negative,False,synthetic,60,10,23,126
Room was dirty and the bathroom smelled bad. Staff was rude and unhelpful.,Room was dirty and the bathroom smelled bad. Staff was rude and unhelpful.,"Anna Nagar mein Isha ka stay bekar tha, room ganda tha aur staff bhi rude tha, total waste experience nahi chalega.",Isha,Chennai,Anna Nagar,negative,False,synthetic,74,13,21,115
"Highly recommended! We had a very comfortable 3 night stay at this house boat. Fantastic atmosphere, and the location is excellent!","Highly recommended! We had a very comfortable 3 night stay at this house boat. Fantastic atmosphere, and the location is excellent!","Viman Nagar mein, Karan ka hostel thik tha, metro ke paas, colony ke andar, budget ke hisaab se ekdum sahi hai 🙌, lekin parking nahi thi 😐",Karan,Pune,Viman Nagar,positive,True,real,131,21,27,138
"This is a great place to stay in the heart of Amsterdam. It's a hop, skip and a jump from everything and anything you might want to do.  You get a true houseboat experience - a must from anyone visiting the city.<br/><br/>Derk was a gracious host, very friendly and open for any questions we might have had.<br/><br/>It was a joy to be there.","This is a great place to stay in the heart of Bangalore. It's a hop, skip and a jump from everything and anything you might want to do.  You get a true Bangalore experience - a must from anyone visiting the city.<br/><br/>Kavya was a gracious host, very friendly and open for any questions we might have had.<br/><br/>It was a joy to be there.","HSR Layout mein mast stay tha, yaar 🤩. Kavya ekdum achha host hai, bilkul friendly! 💯",Kavya,Bangalore,HSR Layout,positive,False,real,346,67,16,85
"When you reach at Dainel place, be sure that all things are ready to greet you. May it be meticulously made room or spick & span bathroom or well-thought-of information on ""Things To Do"" along with relevant maps & transportation schedule to explore the city to the fullest. Nothing misses out from Daniel's radar.<br/>His pleasing personality with great asthetic sense is just an icing on the cake.We would definately stay with him again.Thanks again for making us feel at home.","When you reach at Dainel place, be sure that all things are ready to greet you. May it be meticulously made room or spick & span bathroom or well-thought-of information on ""Things To Do"" along with relevant maps & transportation schedule to explore the city to the fullest. Nothing misses out from Meera's radar.<br/>His pleasing personality with great asthetic sense is just an icing on the cake.We would definately stay with him again.Thanks again for making us feel at home.","Mera experience Hauz Khas mein Meera ke place par ekdum mast tha, yaar 🌟. Colony ke andar, metro ke paas, budget ke hisaab se sahi hai 🙌. Overall acha experience tha, bilkul! 🙏",Meera,Delhi,Hauz Khas,positive,False,real,479,81,33,176
"Great place to stay and discover the city. Especially our little ones enjoyed the special atmosphere on the boat. Derk and his wife  gave us a really warm welcome and were very flexible with regards to our requests / check-in, check-out time. Thank you. ","Great place to stay and discover the city. Especially our little ones enjoyed the special atmosphere on the boat. Meera and his wife  gave us a really warm welcome and were very flexible with regards to our requests / check-in, check-out time. Thank you. ","Hinjewadi mein stay karna ekdam mast tha, yaar 🌟. Meera ki hospitality thik tha, aur colony ke andar location bhi sahi hai. Budget ke hisaab se bhi bilkul perfect tha 😊",Meera,Pune,Hinjewadi,positive,False,real,254,44,31,168
"We had such a great time in Amsterdam. Daniel is an excellent host! Very friendly and everytime helpful. The room was cozy, comfortable, and VERY clean. Maps, towels, mini-fridge, coffee (very tasty) and tea supplies were provided. Bathroom with all the bathroom requires. Good location - next to the tram stop and it took just around 10-15 minutes to get to the city center.<br/>Totally recommendable! ","We had such a great time in Bangalore. Aarav is an excellent host! Very friendly and everytime helpful. The room was cozy, comfortable, and VERY clean. Maps, towels, mini-fridge, coffee (very tasty) and tea supplies were provided. Bathroom with all the bathroom requires. Good location - next to the tram stop and it took just around 10-15 minutes to get to the city center.<br/>Totally recommendable! ","""HSR Layout mein stay ekdum mast tha, yaar 🙌. Aarav ka hosting achha, bilkul helpful! 😊""",Aarav,Bangalore,HSR Layout,positive,False,real,404,66,16,88
Location was perfect but the room needed better cleaning.,Location was perfect but the room needed better cleaning.,"Banjara Hills mein location perfect thi, lekin room ki cleaning theek tha, kuch khaas nahi, average experience. Ankit ka host bhi okay okay tha.",Ankit,Hyderabad,Banjara Hills,neutral,True,synthetic,57,9,24,144
"Staying on the houseboat was one of the highlights of an already wonderful trip. It was spacious, clean and such a lovely experience. The boat is in a very central location, restaurants, shops, cafes and the tram are all very close by. Derk was a wonderful host. We'd love to stay here again on our next trip!","Staying on the Hyderabad was one of the highlights of an already wonderful trip. It was spacious, clean and such a lovely experience. The boat is in a very central location, restaurants, shops, cafes and the tram are all very close by. Kavya was a wonderful host. We'd love to stay here again on our next trip!","Gachibowli mein Kavya ka hostel sahi tha yaar, colony ke andar metro ke paas, ekdum mast experience 😊",Kavya,Hyderabad,Gachibowli,positive,False,real,309,57,18,101
"First rate all around. The houseboat is cosy, comfortable and has everything you need for a stay. The restaurants and bars in the nearby UtrechtStraat are superb. Location wise this is perfect for Amsterdam - you can walk anywhere you want and yet it is a quiet residential area. Highly recommend it.","First rate all around. The Hyderabad is cosy, comfortable and has everything you need for a stay. The restaurants and bars in the nearby Hyderabad are superb. Location wise this is perfect for Hyderabad - you can walk anywhere you want and yet it is a quiet residential area. Highly recommend it.","Kondapur mein Priya ki hotel ekdum sahi hai, yaar 🙌, metro ke paas aur colony ke andar, budget ke hisaab se mast! 😊",Priya,Hyderabad,Kondapur,positive,False,real,300,52,23,115
Location was decent but the amenities were average at best.,Location was decent but the amenities were average at best.,"Aundh mein location theek tha, lekin amenities average laga, Pune ka stay chalega, kuch khaas nahi. Okay okay experience tha.",Rahul,Pune,Aundh,neutral,True,synthetic,59,10,20,125
"The houseboat is located in a quiet,safe, & nice canal. Easy walks to everything you need. I would stay here again if I make it back to Amsterdam. ","The Jaipur is located in a quiet,safe, & nice canal. Easy walks to everything you need. I would stay here again if I make it back to Jaipur. ","Vaishali Nagar mein, colony ke andar, metro ke paas, overall acha experience tha yaar, budget ke hisaab se sahi hai, ekdum mast, wifi thoda slow tha 🤔",Rahul,Jaipur,Vaishali Nagar,positive,True,real,147,28,27,150
